# p*  T*    P*         U*           P*_cs   U*_cs  Steps  dt*
0.1   6.0    0.6499(6) -0.478(2)    0.6525 -0.452  30000  0.002
0.2   6.0    1.442(1)  -0.942(2)    1.452  -0.890  30000  0.002
0.3   6.0    2.465(3)  -1.376(1)    2.489  -1.298  30000  0.002
0.4   6.0    3.838(5)  -1.785(3)    3.880  -1.681  20000  0.002
0.5   6.0    5.77(1)   -2.131(3)    5.84   -2.000  20000  0.002
0.6   6.0    8.51(2)   -2.382(5)    8.60   -2.225  20000  0.002
0.7   6.0   12.43(2)   -2.501(4)   12.56   -2.318  20000  0.002
0.8   6.0   18.05(2)   -2.416(4)   18.22   -2.207  20000  0.002
0.9   6.0   26.00(2)   -2.058(4)   26.21   -1.823  20000  0.004
1.0   6.0   37.06(3)   -1.361(6)   37.32   -1.100  20000  0.002
1.1   6.0   52.25(2)   -0.216(4)   52.57    0.072  20000  0.002
1.2   6.0   72.90(5)    1.502(9)   73.28    1.816  20000  0.002
1.250 6.0   85.71(5)    2.612(8)   86.12    2.939  20000  0.002

0.1   5.0   0.5324(4)  -0.510(2)    0.5350 -0.484  30000  0.002
0.2   5.0   1.166(2)   -1.012(2)    1.176  -0.960  30000  0.002
0.3   5.0   1.974(3)   -1.500(2)    1.998  -1.422  30000  0.002
0.4   5.0   3.087 (7)  -1.955(2)    3.129  -1.851  30000  0.002
0.5   5.0   4.668(8)   -2.360(2)    4.733  -2.230  30000  0.002
0.6   5.0   6.97(1)    -2.688(4)    7.06   -2.531  20000  0.002
0.7   5.0  10.30(2)    -2.902(5)   10.43   -2.719  20000  0.002
0.8   5.0  15.14(2)    -2.948(4)   15.31   -2.739  20000  0.002
0.9   5.0  22.22(2)    -2.720(5)   22.43   -2.485  20000  0.002
1.0   5.0  32.23(3)    -2.168(6)   32.49   -1.907  20000  0.002
1.1   5.0  46.28(4)    -1.165(7)   46.60   -0.877  20000  0.002
1.2   5.0  65.46(5)     0.370(8)   65.84    0.684  20000  0.002

0.1   4.0  0.4154(6)   -0.547(1)    0.4180 -0.521  30000  0.002
0.2   4.0  0.894(2)    -1.088(2)    0.9045 -1.036  30000  0.002
0.3   4.0  1.501(3)    -1.614(2)    1.525  -1.536  30000  0.002
0.4   4.0  2.319(4)    -2.125(3)    2.361  -2.021  20000  0.002
0.5   4.0  3.532(6)    -2.605(3)    3.597  -2.475  20000  0.002
0.6   4.0  5.33(1)     -3.017(4)    5.42   -2.860  20000  0.002
0.7   4.0  8.044(1)    -3.335(4)    8.172  -3.152  20000  0.002
0.8   4.0  12.14(2)    -3.494(5)   12.31   -3.285  20000  0.002
0.9   4.0  18.24(1)    -3.415(3)   18.45   -3.180  20000  0.002
1.0   4.0  27.11 (2)   -3.023(4)   27.37   -2.762  20000  0.002
1.1   4.0  39.74(4)    -2.217(8)   40.05   -1.929  20000  0.002
1.2   4.0  57.41(2)    -0.866(3)   57.79   -0.552  20000  0.002

0.1   3.0  0.2984(1)   -0.592(2)    0.3010 -0.566  30000  0.003
0.2   3.0  0.615(1)    -1.178(2)    0.625  -1.126  30000  0.003
0.3   3.0  0.999(2)    -1.751(2)    1.023  -1.673  30000  0.003
0.4   3.0  1.529(5)    -2.314(2)    1.571  -2.210  20000  0.003
0.5   3.0  2.336(8)    -2.860(2)    2.401  -2.729  20000  0.003
0.6   3.0  3.60(1)     -3.369(3)    3.69   -3.212  20000  0.003
0.7   3.0  5.65(1)     -3.795(2)    5.78   -3.612  20000  0.003
0.8   3.0  8.92(1)     -4.083(3)    9.09   -3.874  20000  0.003
0.9   3.0  13.95(1)    -4.170(3)   14.16   -3.935  20000  0.003
1.0   3.0  21.52(2)    -3.967(3)   21.78   -3.705  20000  0.002
1.1   3.0  32.64(2)    -3.365(4)   32.96   -3.077  20000  0.002

0.1   2.5
0.2   2.5
0.3   2.5
0.4   2.5
0.5   2.5
0.6   2.5
0.7   2.5
0.8   2.5
0.9   2.5
1.0   2.5
1.05  2.5
